"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2"
0,802;-0,656;0,802;-0,541
0,804;-0,650;0,804;-0,536
0,806;-0,652;0,806;-0,548
0,808;-0,659;0,808;-0,555
0,810;-0,648;0,810;-0,555
0,812;-0,650;0,812;-0,543
0,814;-0,650;0,814;-0,534
0,816;-0,645;0,816;-0,536
0,818;-0,647;0,818;-0,527
0,820;-0,648;0,820;-0,523
0,822;-0,645;0,822;-0,521
0,824;-0,648;0,824;-0,529
0,826;-0,647;0,826;-0,530
0,828;-0,645;0,828;-0,527
0,830;-0,647;0,830;-0,538
0,832;-0,643;0,832;-0,536
0,834;-0,647;0,834;-0,536
0,836;-0,648;0,836;-0,545
0,838;-0,650;0,838;-0,543
0,840;-0,647;0,840;-0,552
0,842;-0,640;0,842;-0,557
0,844;-0,645;0,844;-0,548
0,846;-0,647;0,846;-0,557
0,848;-0,648;0,848;-0,554
0,850;-0,643;0,850;-0,555
0,852;-0,648;0,852;-0,539
0,854;-0,650;0,854;-0,534
0,856;-0,650;0,856;-0,532
0,858;-0,652;0,858;-0,532
0,860;-0,654;0,860;-0,536
0,862;-0,652;0,862;-0,532
0,864;-0,647;0,864;-0,547
0,866;-0,650;0,866;-0,539
0,868;-0,663;0,868;-0,541
0,870;-0,647;0,870;-0,548
0,872;-0,650;0,872;-0,550
0,874;-0,657;0,874;-0,550
0,876;-0,647;0,876;-0,548
0,878;-0,648;0,878;-0,550
0,880;-0,654;0,880;-0,555
0,882;-0,654;0,882;-0,554
0,884;-0,654;0,884;-0,548
0,886;-0,657;0,886;-0,541
0,888;-0,654;0,888;-0,547
0,890;-0,656;0,890;-0,532
0,892;-0,654;0,892;-0,530
0,894;-0,661;0,894;-0,525
0,896;-0,650;0,896;-0,530
0,898;-0,654;0,898;-0,538
0,900;-0,654;0,900;-0,538
0,902;-0,656;0,902;-0,530
0,904;-0,661;0,904;-0,539
0,906;-0,654;0,906;-0,543
0,908;-0,659;0,908;-0,543
0,910;-0,654;0,910;-0,545
0,912;-0,652;0,912;-0,545
0,914;-0,656;0,914;-0,550
0,916;-0,652;0,916;-0,548
0,918;-0,652;0,918;-0,552
0,920;-0,654;0,920;-0,543
0,922;-0,656;0,922;-0,538
0,924;-0,650;0,924;-0,532
0,926;-0,650;0,926;-0,527
0,928;-0,652;0,928;-0,530
0,930;-0,654;0,930;-0,538
0,932;-0,654;0,932;-0,529
0,934;-0,656;0,934;-0,536
0,936;-0,656;0,936;-0,534
0,938;-0,650;0,938;-0,538
0,940;-0,650;0,940;-0,530
0,942;-0,652;0,942;-0,545
0,944;-0,652;0,944;-0,547
0,946;-0,648;0,946;-0,548
0,948;-0,648;0,948;-0,547
0,950;-0,643;0,950;-0,543
0,952;-0,650;0,952;-0,545
0,954;-0,652;0,954;-0,550
0,956;-0,648;0,956;-0,541
0,958;-0,645;0,958;-0,543
0,960;-0,654;0,960;-0,536
0,962;-0,650;0,962;-0,532
0,964;-0,643;0,964;-0,536
0,966;-0,654;0,966;-0,530
0,968;-0,650;0,968;-0,523
0,970;-0,641;0,970;-0,529
0,972;-0,643;0,972;-0,530
0,974;-0,647;0,974;-0,530
0,976;-0,647;0,976;-0,543
0,978;-0,648;0,978;-0,547
0,980;-0,647;0,980;-0,545
0,982;-0,641;0,982;-0,550
0,984;-0,643;0,984;-0,548
0,986;-0,648;0,986;-0,559
0,988;-0,650;0,988;-0,552
0,990;-0,643;0,990;-0,550
0,992;-0,648;0,992;-0,550
0,994;-0,647;0,994;-0,547
0,996;-0,652;0,996;-0,541
0,998;-0,650;0,998;-0,534
1,000;-0,648;1,000;-0,536
1,002;-0,647;1,002;-0,536
1,004;-0,661;1,004;-0,539
1,006;-0,650;1,006;-0,539
1,008;-0,652;1,008;-0,543
1,010;-0,652;1,010;-0,547
1,012;-0,654;1,012;-0,547
1,014;-0,654;1,014;-0,550
1,016;-0,652;1,016;-0,547
1,018;-0,652;1,018;-0,547
1,020;-0,663;1,020;-0,555
1,022;-0,654;1,022;-0,550
1,024;-0,654;1,024;-0,554
1,026;-0,657;1,026;-0,548
1,028;-0,654;1,028;-0,545
1,030;-0,656;1,030;-0,541
1,032;-0,652;1,032;-0,539
1,034;-0,652;1,034;-0,534
1,036;-0,650;1,036;-0,527
1,038;-0,645;1,038;-0,534
1,040;-0,650;1,040;-0,530
1,042;-0,652;1,042;-0,532
1,044;-0,652;1,044;-0,534
1,046;-0,663;1,046;-0,536
1,048;-0,650;1,048;-0,536
1,050;-0,654;1,050;-0,539
1,052;-0,652;1,052;-0,534
1,054;-0,650;1,054;-0,538
1,056;-0,650;1,056;-0,543
1,058;-0,650;1,058;-0,539
1,060;-0,654;1,060;-0,532
1,062;-0,656;1,062;-0,532
1,064;-0,654;1,064;-0,532
1,066;-0,648;1,066;-0,527
1,068;-0,648;1,068;-0,530
1,070;-0,647;1,070;-0,527
1,072;-0,654;1,072;-0,523
1,074;-0,647;1,074;-0,527
1,076;-0,652;1,076;-0,527
1,078;-0,647;1,078;-0,538
1,080;-0,647;1,080;-0,534
1,082;-0,650;1,082;-0,541
1,084;-0,650;1,084;-0,545
1,086;-0,650;1,086;-0,539
1,088;-0,648;1,088;-0,547
1,090;-0,648;1,090;-0,547
1,092;-0,648;1,092;-0,547
1,094;-0,643;1,094;-0,547
1,096;-0,648;1,096;-0,545
1,098;-0,645;1,098;-0,543
1,100;-0,643;1,100;-0,541
1,102;-0,640;1,102;-0,532
1,104;-0,650;1,104;-0,530
1,106;-0,650;1,106;-0,530
1,108;-0,641;1,108;-0,532
1,110;-0,648;1,110;-0,532
1,112;-0,647;1,112;-0,539
1,114;-0,648;1,114;-0,543
1,116;-0,648;1,116;-0,543
1,118;-0,656;1,118;-0,547
1,120;-0,648;1,120;-0,552
1,122;-0,647;1,122;-0,548
1,124;-0,654;1,124;-0,552
1,126;-0,647;1,126;-0,552
1,128;-0,648;1,128;-0,557
1,130;-0,654;1,130;-0,555
1,132;-0,645;1,132;-0,547
1,134;-0,648;1,134;-0,541
1,136;-0,645;1,136;-0,543
1,138;-0,656;1,138;-0,547
1,140;-0,652;1,140;-0,536
1,142;-0,650;1,142;-0,539
1,144;-0,648;1,144;-0,536
1,146;-0,652;1,146;-0,538
1,148;-0,652;1,148;-0,532
1,150;-0,659;1,150;-0,539
1,152;-0,650;1,152;-0,541
1,154;-0,659;1,154;-0,539
1,156;-0,656;1,156;-0,547
1,158;-0,657;1,158;-0,543
1,160;-0,654;1,160;-0,543
1,162;-0,661;1,162;-0,550
1,164;-0,656;1,164;-0,548
1,166;-0,650;1,166;-0,550
1,168;-0,654;1,168;-0,541
1,170;-0,656;1,170;-0,536
1,172;-0,654;1,172;-0,538
1,174;-0,657;1,174;-0,530
1,176;-0,659;1,176;-0,529
