"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2";"Tiempo (s) Serie Nº 3";"Fuerza (N) Serie Nº 3"
1,364;-0,666;1,364;-0,511
1,366;-0,665;1,366;-0,507
1,368;-0,665;1,368;-0,509
1,370;-0,666;1,370;-0,509
1,372;-0,659;1,372;-0,513
1,374;-0,663;1,374;-0,513
1,376;-0,665;1,376;-0,518
1,378;-0,663;1,378;-0,518
1,380;-0,657;1,380;-0,516
1,382;-0,666;1,382;-0,520
1,384;-0,666;1,384;-0,516
1,386;-0,663;1,386;-0,514
1,388;-0,668;1,388;-0,516
1,390;-0,670;1,390;-0,520
1,392;-0,666;1,392;-0,514
1,394;-0,668;1,394;-0,509
1,396;-0,666;1,396;-0,509
1,398;-0,665;1,398;-0,516
1,400;-0,666;1,400;-0,516
1,402;-0,663;1,402;-0,520
1,404;-0,665;1,404;-0,520
1,406;-0,665;1,406;-0,514
1,408;-0,666;1,408;-0,520
1,410;-0,661;1,410;-0,518
1,412;-0,663;1,412;-0,520
1,414;-0,663;1,414;-0,514
1,416;-0,665;1,416;-0,511
1,418;-0,666;1,418;-0,511
1,420;-0,670;1,420;-0,514
1,422;-0,665;1,422;-0,511
1,424;-0,663;1,424;-0,514
1,426;-0,665;1,426;-0,514
1,428;-0,663;1,428;-0,516
1,430;-0,666;1,430;-0,518
1,432;-0,666;1,432;-0,523
1,434;-0,670;1,434;-0,513
1,436;-0,668;1,436;-0,518
1,438;-0,666;1,438;-0,518
1,440;-0,661;1,440;-0,521
1,442;-0,665;1,442;-0,516
1,444;-0,666;1,444;-0,518
1,446;-0,659;1,446;-0,518
1,448;-0,668;1,448;-0,521
1,450;-0,665;1,450;-0,518
1,452;-0,654;1,452;-0,518
1,454;-0,668;1,454;-0,514
1,456;-0,666;1,456;-0,520
1,458;-0,665;1,458;-0,511
1,460;-0,665;1,460;-0,511
1,462;-0,665;1,462;-0,511
1,464;-0,661;1,464;-0,504
1,466;-0,666;1,466;-0,513
1,468;-0,663;1,468;-0,507
1,470;-0,661;1,470;-0,507
1,472;-0,665;1,472;-0,504
1,474;-0,665;1,474;-0,507
1,476;-0,666;1,476;-0,509
1,478;-0,666;1,478;-0,509
1,480;-0,668;1,480;-0,516
1,482;-0,663;1,482;-0,509
1,484;-0,666;1,484;-0,511
1,486;-0,668;1,486;-0,513
1,488;-0,661;1,488;-0,513
1,490;-0,666;1,490;-0,516
1,492;-0,656;1,492;-0,516
1,494;-0,663;1,494;-0,516
1,496;-0,666;1,496;-0,516
1,498;-0,665;1,498;-0,520
1,500;-0,659;1,500;-0,514
1,502;-0,663;1,502;-0,513
1,504;-0,661;1,504;-0,504
1,506;-0,665;1,506;-0,513
1,508;-0,668;1,508;-0,521
1,510;-0,663;1,510;-0,518
1,512;-0,661;1,512;-0,513
1,514;-0,659;1,514;-0,509
1,516;-0,654;1,516;-0,505
1,518;-0,661;1,518;-0,511
1,520;-0,666;1,520;-0,509
