"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2"
1,466;-0,636;1,466;-0,573
1,468;-0,640;1,468;-0,582
1,470;-0,641;1,470;-0,584
1,472;-0,641;1,472;-0,584
1,474;-0,641;1,474;-0,589
1,476;-0,647;1,476;-0,591
1,478;-0,643;1,478;-0,586
1,480;-0,643;1,480;-0,589
1,482;-0,638;1,482;-0,586
1,484;-0,641;1,484;-0,582
1,486;-0,631;1,486;-0,584
1,488;-0,627;1,488;-0,586
1,490;-0,629;1,490;-0,588
1,492;-0,631;1,492;-0,579
1,494;-0,631;1,494;-0,581
1,496;-0,632;1,496;-0,581
1,498;-0,636;1,498;-0,577
1,500;-0,634;1,500;-0,572
1,502;-0,634;1,502;-0,572
1,504;-0,638;1,504;-0,579
1,506;-0,638;1,506;-0,584
1,508;-0,638;1,508;-0,579
1,510;-0,636;1,510;-0,586
1,512;-0,634;1,512;-0,582
1,514;-0,638;1,514;-0,582
1,516;-0,640;1,516;-0,579
1,518;-0,640;1,518;-0,577
1,520;-0,640;1,520;-0,582
