"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2"
1,098;-0,666;1,098;-0,518
1,100;-0,666;1,100;-0,514
1,102;-0,663;1,102;-0,523
1,104;-0,665;1,104;-0,518
1,106;-0,657;1,106;-0,514
1,108;-0,665;1,108;-0,518
1,110;-0,656;1,110;-0,514
1,112;-0,656;1,112;-0,518
1,114;-0,656;1,114;-0,518
1,116;-0,659;1,116;-0,514
1,118;-0,659;1,118;-0,513
1,120;-0,657;1,120;-0,516
1,122;-0,656;1,122;-0,514
1,124;-0,650;1,124;-0,514
1,126;-0,661;1,126;-0,516
1,128;-0,654;1,128;-0,521
1,130;-0,654;1,130;-0,520
1,132;-0,656;1,132;-0,520
1,134;-0,661;1,134;-0,511
1,136;-0,657;1,136;-0,516
1,138;-0,665;1,138;-0,520
1,140;-0,666;1,140;-0,520
1,142;-0,657;1,142;-0,520
1,144;-0,659;1,144;-0,527
1,146;-0,665;1,146;-0,518
1,148;-0,659;1,148;-0,523
1,150;-0,652;1,150;-0,523
1,152;-0,659;1,152;-0,518
1,154;-0,652;1,154;-0,520
1,156;-0,652;1,156;-0,520
1,158;-0,657;1,158;-0,527
1,160;-0,661;1,160;-0,520
1,162;-0,657;1,162;-0,529
1,164;-0,661;1,164;-0,520
1,166;-0,666;1,166;-0,523
1,168;-0,656;1,168;-0,521
1,170;-0,656;1,170;-0,520
1,172;-0,652;1,172;-0,525
1,174;-0,656;1,174;-0,523
1,176;-0,663;1,176;-0,520
1,178;-0,663;1,178;-0,520
1,180;-0,665;1,180;-0,525
1,182;-0,657;1,182;-0,520
1,184;-0,652;1,184;-0,523
1,186;-0,659;1,186;-0,527
1,188;-0,657;1,188;-0,518
1,190;-0,656;1,190;-0,516
1,192;-0,656;1,192;-0,525
1,194;-0,657;1,194;-0,527
1,196;-0,659;1,196;-0,525
1,198;-0,659;1,198;-0,523
1,200;-0,663;1,200;-0,521
1,202;-0,652;1,202;-0,523
1,204;-0,657;1,204;-0,527
1,206;-0,659;1,206;-0,521
1,208;-0,656;1,208;-0,521
1,210;-0,656;1,210;-0,521
1,212;-0,657;1,212;-0,516
1,214;-0,652;1,214;-0,513
1,216;-0,659;1,216;-0,518
1,218;-0,659;1,218;-0,518
1,220;-0,663;1,220;-0,514
1,222;-0,661;1,222;-0,516
1,224;-0,656;1,224;-0,520
1,226;-0,657;1,226;-0,513
1,228;-0,657;1,228;-0,521
1,230;-0,657;1,230;-0,513
1,232;-0,663;1,232;-0,521
1,234;-0,665;1,234;-0,513
1,236;-0,659;1,236;-0,509
1,238;-0,654;1,238;-0,514
1,240;-0,654;1,240;-0,516
1,242;-0,656;1,242;-0,511
1,244;-0,654;1,244;-0,514
1,246;-0,659;1,246;-0,516
1,248;-0,656;1,248;-0,516
1,250;-0,659;1,250;-0,514
1,252;-0,659;1,252;-0,514
1,254;-0,654;1,254;-0,520
1,256;-0,656;1,256;-0,523
1,258;-0,654;1,258;-0,521
1,260;-0,654;1,260;-0,520
1,262;-0,666;1,262;-0,520
1,264;-0,657;1,264;-0,523
1,266;-0,659;1,266;-0,518
1,268;-0,657;1,268;-0,523
1,270;-0,657;1,270;-0,516
1,272;-0,663;1,272;-0,523
1,274;-0,654;1,274;-0,509
1,276;-0,657;1,276;-0,518
1,278;-0,659;1,278;-0,520
1,280;-0,659;1,280;-0,523
1,282;-0,657;1,282;-0,518
1,284;-0,656;1,284;-0,523
1,286;-0,661;1,286;-0,532
1,288;-0,661;1,288;-0,525
1,290;-0,657;1,290;-0,513
1,292;-0,657;1,292;-0,529
1,294;-0,657;1,294;-0,521
1,296;-0,659;1,296;-0,521
1,298;-0,656;1,298;-0,523
1,300;-0,663;1,300;-0,521
1,302;-0,659;1,302;-0,516
1,304;-0,661;1,304;-0,527
1,306;-0,661;1,306;-0,521
1,308;-0,663;1,308;-0,523
1,310;-0,654;1,310;-0,525
1,312;-0,657;1,312;-0,532
1,314;-0,657;1,314;-0,527
1,316;-0,659;1,316;-0,523
1,318;-0,656;1,318;-0,521
1,320;-0,656;1,320;-0,527
1,322;-0,652;1,322;-0,525
1,324;-0,661;1,324;-0,521
1,326;-0,659;1,326;-0,518
1,328;-0,656;1,328;-0,520
1,330;-0,663;1,330;-0,521
1,332;-0,656;1,332;-0,514
1,334;-0,659;1,334;-0,523
1,336;-0,663;1,336;-0,523
1,338;-0,665;1,338;-0,518
1,340;-0,657;1,340;-0,520
1,342;-0,656;1,342;-0,521
1,344;-0,656;1,344;-0,521
1,346;-0,657;1,346;-0,523
1,348;-0,659;1,348;-0,521
1,350;-0,661;1,350;-0,520
1,352;-0,659;1,352;-0,523
1,354;-0,661;1,354;-0,518
1,356;-0,661;1,356;-0,527
1,358;-0,661;1,358;-0,520
1,360;-0,663;1,360;-0,525
1,362;-0,657;1,362;-0,518
1,364;-0,656;1,364;-0,514
1,366;-0,659;1,366;-0,525
1,368;-0,654;1,368;-0,513
1,370;-0,657;1,370;-0,516
1,372;-0,659;1,372;-0,514
1,374;-0,661;1,374;-0,516
1,376;-0,666;1,376;-0,518
1,378;-0,659;1,378;-0,513
1,380;-0,657;1,380;-0,514
1,382;-0,657;1,382;-0,518
1,384;-0,657;1,384;-0,518
1,386;-0,657;1,386;-0,518
1,388;-0,656;1,388;-0,516
1,390;-0,659;1,390;-0,518
1,392;-0,661;1,392;-0,518
1,394;-0,656;1,394;-0,513
1,396;-0,666;1,396;-0,518
1,398;-0,657;1,398;-0,527
1,400;-0,659;1,400;-0,520
1,402;-0,656;1,402;-0,518
1,404;-0,659;1,404;-0,520
1,406;-0,654;1,406;-0,521
1,408;-0,659;1,408;-0,518
1,410;-0,657;1,410;-0,518
1,412;-0,659;1,412;-0,525
1,414;-0,659;1,414;-0,523
1,416;-0,661;1,416;-0,525
1,418;-0,665;1,418;-0,521
1,420;-0,665;1,420;-0,529
1,422;-0,663;1,422;-0,523
1,424;-0,661;1,424;-0,529
1,426;-0,659;1,426;-0,523
