"Tiempo (s) Serie Nº 1";"Posición (m) Serie Nº 1";"Vector velocidad (m/s) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Posición (m) Serie Nº 2";"Vector velocidad (m/s) Serie Nº 2";"Tiempo (s) Serie Nº 3";"Posición (m) Serie Nº 3";"Vector velocidad (m/s) Serie Nº 3";"Tiempo (s) Serie Nº 4";"Posición (m) Serie Nº 4";"Vector velocidad (m/s) Serie Nº 4";"Tiempo (s) Serie Nº 5";"Posición (m) Serie Nº 5";"Vector velocidad (m/s) Serie Nº 5"
1,180;0,15;0,34;1,180;0,20;0,01;1,180;0,14;-0,11;1,180;0,20;-0,01;1,180;0,21;-0,03
1,190;0,15;0,38;1,190;0,21;-0,01;1,190;0,14;0,08;1,190;0,20;-0,01;1,190;0,21;0,05
1,200;0,15;0,40;1,200;0,20;0,07;1,200;0,14;0,24;1,200;0,21;0,01;1,200;0,20;-0,06
1,210;0,16;0,47;1,210;0,21;-0,03;1,210;0,14;0,35;1,210;0,20;0,01;1,210;0,21;0,03
1,220;0,16;0,54;1,220;0,21;0,09;1,220;0,15;0,40;1,220;0,21;-0,09;1,220;0,20;-0,03
1,230;0,17;0,58;1,230;0,20;0,01;1,230;0,15;0,42;1,230;0,20;-0,24;1,230;0,21;-0,03
1,240;0,17;0,59;1,240;0,21;0,03;1,240;0,16;0,47;1,240;0,20;-0,39;1,240;0,20;0,01
1,250;0,18;0,63;1,250;0,20;-0,08;1,250;0,16;0,55;1,250;0,20;-0,53;1,250;0,21;-0,07
1,260;0,19;0,60;1,260;0,21;-0,08;1,260;0,17;0,61;1,260;0,19;-0,66;1,260;0,20;0,05
1,270;0,19;0,46;1,270;0,20;0,03;1,270;0,17;0,60;1,270;0,18;-0,79;1,270;0,20;-0,04
1,280;0,20;0,31;1,280;0,21;-0,07;1,280;0,18;0,60;1,280;0,17;-0,85;1,280;0,21;0,09
1,290;0,20;0,29;1,290;0,20;0,08;1,290;0,19;0,55;1,290;0,16;-0,79;1,290;0,20;-0,02
1,300;0,20;0,22;1,300;0,20;0,00;1,300;0,19;0,45;1,300;0,16;-0,69;1,300;0,21;0,04
1,310;0,21;0,22;1,310;0,21;0,06;1,310;0,20;0,37;1,310;0,15;-0,56;1,310;0,20;-0,03
1,320;0,20;0,09;1,320;0,20;-0,06;1,320;0,20;0,29;1,320;0,15;-0,45;1,320;0,21;-0,04
1,330;0,21;0,06;1,330;0,21;-0,03;1,330;0,20;0,21;1,330;0,14;-0,32;1,330;0,20;0,02
1,340;0,20;-0,04;1,340;0,20;0,00;1,340;0,20;0,22;1,340;0,14;-0,13;1,340;0,21;-0,07
1,350;0,21;-0,05;1,350;0,21;-0,07;1,350;0,20;0,10;1,350;0,14;0,06;1,350;0,20;0,07
1,360;0,20;0,04;1,360;0,20;0,08;1,360;0,21;0,14;1,360;0,14;0,22;1,360;0,20;-0,01
1,370;0,21;-0,05;1,370;0,20;-0,01;1,370;0,20;0,01;1,370;0,14;0,34;1,370;0,21;0,08
1,380;0,20;0,07;1,380;0,21;-0,25;1,380;0,21;-0,02;1,380;0,15;0,39;1,380;0,20;-0,04
1,390;0,20;-0,02;1,390;0,20;;1,390;0,20;-0,06;1,390;0,15;0,41;1,390;0,21;-0,01
1,400;0,21;0,05;;;;1,400;0,21;-0,06;1,400;0,16;0,46;1,400;0,20;-0,01
1,410;0,20;-0,06;;;;1,410;0,20;0,03;1,410;0,16;0,52;1,410;0,21;-0,03
1,420;0,21;-0,02;;;;1,420;0,21;-0,04;1,420;0,17;0,57;1,420;0,20;0,07
1,430;0,20;0,05;;;;1,430;0,20;0,09;1,430;0,17;0,59;1,430;0,21;-0,04
1,440;0,21;-0,04;;;;1,440;0,21;-0,02;1,440;0,18;0,62;1,440;0,21;0,06
1,450;0,20;0,07;;;;1,450;0,21;0,07;1,450;0,18;0,58;1,450;0,20;-0,04
1,460;0,20;-0,04;;;;1,460;0,20;-0,06;1,460;0,19;0,48;1,460;0,21;0,05
1,470;0,21;0,04;;;;1,470;0,21;-0,01;1,470;0,19;0,36;1,470;0,20;-0,03
1,480;0,20;-0,06;;;;1,480;0,20;-0,03;1,480;0,20;0,26;1,480;0,21;-0,02
1,490;0,21;-0,01;;;;1,490;0,21;-0,04;1,490;0,20;0,28;1,490;0,20;0,02
1,500;0,20;0,04;;;;1,500;0,20;0,06;1,500;0,20;0,18;1,500;0,21;-0,06
1,510;0,21;-0,06;;;;1,510;0,21;-0,07;1,510;0,21;0,13;1,510;0,20;-0,23
1,520;0,20;0,06;;;;1,520;0,20;0,04;1,520;0,20;0,10;1,520;0,20;
1,530;0,20;-0,02;;;;1,530;0,20;-0,04;1,530;0,21;-1,26E-4;;;
1,540;0,21;0,06;;;;1,540;0,21;0,07;1,540;0,21;0,11;;;
1,550;0,20;-0,06;;;;1,550;0,20;-0,03;1,550;0,20;-7,97E-4;;;
1,560;0,21;-0,02;;;;1,560;0,21;-0,02;1,560;0,21;0,03;;;
1,570;0,20;0,04;;;;1,570;0,20;0,02;1,570;0,20;-0,09;;;
1,580;0,21;-0,06;;;;1,580;0,21;-0,08;1,580;0,21;-0,10;;;
1,590;0,20;0,06;;;;1,590;0,20;0,04;1,590;0,20;-0,03;;;
1,600;0,20;-0,04;;;;1,600;0,20;-0,04;1,600;0,21;-0,01;;;
1,610;0,21;0,06;;;;1,610;0,21;0,08;1,610;0,20;0,10;;;
1,620;0,20;-0,04;;;;1,620;0,20;-0,02;1,620;0,21;0,00;;;
1,630;0,21;-0,03;;;;1,630;0,21;0,01;1,630;0,21;0,10;;;
1,640;0,20;0,05;;;;1,640;0,20;-0,01;1,640;0,20;-0,03;;;
1,650;0,21;-0,06;;;;1,650;0,21;-0,08;1,650;0,21;0,02;;;
1,660;0,21;0,05;;;;1,660;0,20;0,04;1,660;0,20;-0,07;;;
1,670;0,20;-0,04;;;;1,670;0,21;-0,04;1,670;0,21;-0,04;;;
1,680;0,21;0,06;;;;1,680;0,21;0,08;1,680;0,20;0,01;;;
1,690;0,20;-0,01;;;;1,690;0,20;-0,01;1,690;0,21;-0,03;;;
1,700;0,21;-0,04;;;;1,700;0,21;0,04;1,700;0,20;0,05;;;
1,710;0,20;0,04;;;;1,710;0,20;-0,02;1,710;0,21;-0,05;;;
1,720;0,21;-0,07;;;;1,720;0,21;-0,05;1,720;0,21;0,05;;;
1,730;0,21;0,05;;;;1,730;0,20;0,04;1,730;0,20;-0,03;;;
1,740;0,20;-0,03;;;;1,740;0,21;-0,05;1,740;0,21;0,05;;;
1,750;0,21;0,03;;;;1,750;0,21;0,07;1,750;0,20;-0,03;;;
1,760;0,20;0,00;;;;1,760;0,20;-0,02;1,760;0,21;-0,03;;;
1,770;0,21;-0,07;;;;1,770;0,21;0,06;1,770;0,20;0,02;;;
1,780;0,20;0,02;;;;1,780;0,20;-0,01;1,780;0,21;-0,06;;;
1,790;0,20;-0,06;;;;1,790;0,21;-0,04;1,790;0,20;0,07;;;
1,800;0,21;0,07;;;;1,800;0,20;0,01;1,800;0,20;-0,02;;;
1,810;0,20;-5,05E-4;;;;1,810;0,21;-0,08;1,810;0,21;0,07;;;
1,820;0,21;0,01;;;;1,820;0,20;0,05;1,820;0,20;-0,04;;;
1,830;0,20;0,01;;;;1,830;0,20;-0,03;1,830;0,21;-0,01;;;
1,840;0,21;-0,08;;;;1,840;0,21;0,06;1,840;0,20;0,00;;;
1,850;0,20;0,04;;;;1,850;0,20;0,01;1,850;0,21;-0,04;;;
1,860;0,20;-0,02;;;;1,860;0,21;0,04;1,860;0,20;0,07;;;
1,870;0,21;0,06;;;;1,870;0,20;;1,870;0,21;-0,04;;;
1,880;0,20;0,01;;;;;;;1,880;0,21;0,06;;;
1,890;0,21;;;;;;;;1,890;0,20;-0,04;;;
;;;;;;;;;1,900;0,21;0,03;;;
;;;;;;;;;1,910;0,20;-0,01;;;
;;;;;;;;;1,920;0,21;-0,03;;;
;;;;;;;;;1,930;0,20;0,03;;;
;;;;;;;;;1,940;0,21;-0,07;;;
;;;;;;;;;1,950;0,20;0,04;;;
;;;;;;;;;1,960;0,20;-0,04;;;
;;;;;;;;;1,970;0,21;0,06;;;
;;;;;;;;;1,980;0,20;-0,01;;;
;;;;;;;;;1,990;0,21;-0,01;;;
;;;;;;;;;2,000;0,20;0,02;;;
;;;;;;;;;2,010;0,21;-0,06;;;
;;;;;;;;;2,020;0,20;0,02;;;
;;;;;;;;;2,030;0,20;-0,06;;;
;;;;;;;;;2,040;0,21;0,07;;;
;;;;;;;;;2,050;0,20;0,00;;;
;;;;;;;;;2,060;0,21;0,01;;;
;;;;;;;;;2,070;0,20;-0,02;;;
;;;;;;;;;2,080;0,21;-0,06;;;
;;;;;;;;;2,090;0,20;0,04;;;
;;;;;;;;;2,100;0,20;-0,04;;;
;;;;;;;;;2,110;0,21;0,06;;;
;;;;;;;;;2,120;0,20;-0,03;;;
;;;;;;;;;2,130;0,21;0,01;;;
;;;;;;;;;2,140;0,20;0,00;;;
;;;;;;;;;2,150;0,21;0,09;;;
;;;;;;;;;2,160;0,20;;;;
