"Tiempo (s) Serie Nº 1";"Posición (m) Serie Nº 1";"Vector velocidad (m/s) Serie Nº 1";"Aceleración (m/s²) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Posición (m) Serie Nº 2";"Vector velocidad (m/s) Serie Nº 2";"Aceleración (m/s²) Serie Nº 2";"Fuerza (N) Serie Nº 2"
2,300;0,24;-0,01;-0,38;3,753;2,300;0,25;0,00;-0,05;4,152
2,310;0,24;-0,02;-0,39;3,718;2,310;0,25;-0,01;-0,05;4,125
2,320;0,24;-0,02;-0,34;3,700;2,320;0,25;-0,01;0,05;4,109
2,330;0,24;-0,03;-0,28;3,678;2,330;0,25;0,00;0,06;4,111
2,340;0,24;-0,03;-0,33;3,662;2,340;0,25;0,00;-0,09;4,083
2,350;0,24;-0,03;-0,43;3,650;2,350;0,25;-0,01;-0,19;4,054
2,360;0,24;-0,04;-0,49;3,630;2,360;0,25;-0,01;-0,15;4,020
2,370;0,24;-0,04;-0,36;3,634;2,370;0,25;-0,01;-0,09;3,997
2,380;0,24;-0,05;-0,02;3,621;2,380;0,25;-0,01;-0,17;3,982
2,390;0,24;-0,04;0,28;3,600;2,390;0,25;-0,01;-0,42;3,966
2,400;0,24;-0,04;0,38;3,596;2,400;0,25;-0,02;-0,62;3,950
2,410;0,24;-0,03;0,38;3,564;2,410;0,25;-0,03;-0,64;3,922
2,420;0,24;-0,03;0,39;3,539;2,420;0,25;-0,03;-0,41;3,911
2,430;0,24;-0,03;0,34;3,496;2,430;0,25;-0,03;-0,06;3,895
2,440;0,24;-0,02;0,20;3,460;2,440;0,25;-0,03;0,14;3,889
2,450;0,24;-0,02;0,10;3,426;2,450;0,24;-0,03;0,15;3,884
2,460;0,24;-0,02;0,10;3,387;2,460;0,24;-0,03;0,05;3,870
2,470;0,24;-0,02;0,06;3,358;2,470;0,24;-0,03;0,04;3,855
2,480;0,24;-0,02;-0,09;3,335;2,480;0,24;-0,03;0,10;3,825
2,490;0,24;-0,02;-0,20;3,288;2,490;0,24;-0,03;0,10;3,782
2,500;0,24;-0,03;-0,11;3,240;2,500;0,24;-0,03;0,05;3,734
2,510;0,24;-0,03;0,09;3,197;2,510;0,24;-0,03;-0,04;3,709
2,520;0,24;-0,02;0,20;3,170;2,520;0,24;-0,03;-0,14;3,673
2,530;0,24;-0,02;0,11;3,151;2,530;0,24;-0,03;-0,20;3,664
2,540;0,24;-0,02;-0,05;3,142;2,540;0,24;-0,03;-0,07;3,666
2,550;0,24;-0,02;-0,06;3,149;2,550;0,24;-0,03;0,23;3,691
2,560;0,24;-0,02;0,09;3,151;2,560;0,24;-0,03;0,43;3,703
2,570;0,24;-0,02;0,19;3,115;2,570;0,24;-0,02;0,44;3,687
2,580;0,24;-0,02;0,15;3,074;2,580;0,24;-0,02;0,34;3,641
2,590;0,24;-0,02;0,05;3,029;2,590;0,24;-0,01;0,29;3,569
2,600;0,24;-0,02;-0,03;2,966;2,600;0,24;-0,01;0,25;3,521
2,610;0,24;-0,02;-0,22;2,915;2,610;0,24;-0,01;0,15;3,483
2,620;0,24;-0,02;-0,55;2,863;2,620;0,24;-0,01;0,10;3,480
2,630;0,24;-0,03;-0,86;2,825;2,630;0,24;-0,01;0,10;3,465
2,640;0,24;-0,04;-0,84;2,789;2,640;0,24;-0,01;0,10;3,451
2,650;0,24;-0,05;-0,46;2,759;2,650;0,24;-0,01;0,01;3,442
2,660;0,23;-0,05;-0,02;2,734;2,660;0,24;-0,01;-0,14;3,412
2,670;0,23;-0,05;0,24;2,705;2,670;0,24;-0,01;-0,19;3,390
2,680;0,23;-0,04;0,25;2,684;2,680;0,24;-0,01;-0,15;3,367
2,690;0,23;-0,04;0,15;2,696;2,690;0,24;-0,01;-0,09;3,347
2,700;0,23;-0,04;0,05;2,682;2,700;0,24;-0,01;-0,17;3,310
2,710;0,23;-0,04;0,04;2,698;2,710;0,24;-0,01;-0,42;3,269
2,720;0,23;-0,04;0,18;2,677;2,720;0,24;-0,02;-0,62;3,224
2,730;0,23;-0,04;0,37;2,666;2,730;0,24;-0,03;-0,67;3,185
2,740;0,23;-0,03;0,57;2,646;2,740;0,24;-0,03;-0,63;3,160
2,750;0,23;-0,03;0,67;2,623;2,750;0,24;-0,04;-0,49;3,147
2,760;0,23;-0,02;0,63;2,603;2,760;0,24;-0,05;-0,26;3,129
2,770;0,23;-0,01;0,49;2,577;2,770;0,24;-0,05;0,08;3,095
2,780;0,23;-0,01;0,34;2,544;2,780;0,24;-0,04;0,30;3,059
2,790;0,23;-0,01;0,29;2,507;2,790;0,24;-0,04;0,17;3,054
2,800;0,23;0,00;0,25;2,467;2,800;0,24;-0,04;-0,17;3,013
2,810;0,23;0,00;0,15;2,391;2,810;0,24;-0,04;-0,43;2,984
2,820;0,23;0,00;0,05;2,382;2,820;0,24;-0,05;-0,40;2,925
2,830;0,23;0,00;0,00;2,389;2,830;0,24;-0,05;-0,17;2,897
2,840;0,23;0,00;0,00;2,369;2,840;0,23;-0,05;0,17;2,897
2,850;0,23;0,00;0,00;2,348;2,850;0,23;-0,05;0,55;2,907
2,860;0,23;0,00;0,00;2,366;2,860;0,23;-0,04;0,86;2,891
2,870;0,23;0,00;0,00;2,360;2,870;0,23;-0,03;0,92;2,897
2,880;0,23;0,00;0,00;2,369;2,880;0,23;-0,02;0,73;2,911
2,890;0,23;0,00;-0,04;2,308;2,890;0,23;-0,01;0,53;2,900
2,900;0,23;1,92E-4;-0,14;2,324;2,900;0,23;-0,01;0,48;2,870
2,910;0,23;0,00;-0,19;2,328;2,910;0,23;-0,01;0,48;2,818
2,920;0,23;-0,01;-0,15;2,328;2,920;0,23;-1,94E-4;0,40;2,770
2,930;0,23;-0,01;-0,09;2,317;2,930;0,23;0,00;0,16;2,707
2,940;0,23;-0,01;-0,18;2,290;2,940;0,23;0,00;-0,09;2,569
2,950;0,23;-0,01;-0,33;2,260;2,950;0,23;1,94E-4;-0,24;2,618
2,960;0,23;-0,01;-0,34;2,213;2,960;0,23;0,00;-0,25;2,618
2,970;0,23;-0,02;-0,24;2,188;2,970;0,23;-0,01;-0,15;2,575
2,980;0,23;-0,02;-0,18;2,163;2,980;0,23;-0,01;-0,05;2,612
2,990;0,23;-0,02;-0,28;2,154;2,990;0,23;-0,01;-0,04;2,514
3,000;0,23;-0,02;-0,43;2,158;3,000;0,23;-0,01;-0,13;2,498
3,010;0,23;-0,03;-0,49;2,151;3,010;0,23;-0,01;-0,28;2,512
3,020;0,23;-0,03;-0,36;2,156;3,020;0,23;-0,01;-0,43;2,512
3,030;0,23;-0,04;-0,02;2,162;3,030;0,23;-0,02;-0,48;2,484
3,040;0,23;-0,03;0,28;2,156;3,040;0,23;-0,02;-0,44;2,446
3,050;0,23;-0,03;0,39;2,144;3,050;0,23;-0,03;-0,34;2,419
3,060;0,23;-0,03;0,34;2,126;3,060;0,23;-0,03;-0,29;2,408
