"Posición (m) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Posición (m) Serie Nº 2";"Fuerza (N) Serie Nº 2"
0,24;-0,390;0,25;-1,064
0,24;-0,381;0,25;-1,066
0,24;-0,372;0,25;-1,052
0,24;-0,349;0,25;-1,075
0,24;-0,335;0,25;-1,068
0,24;-0,324;0,25;-1,070
0,24;-0,317;0,25;-1,050
0,24;-0,310;0,25;-1,046
0,24;-0,292;0,25;-1,030
0,24;-0,277;0,25;-1,000
0,24;-0,261;0,25;-0,970
0,24;-0,251;0,25;-0,964
0,24;-0,238;0,25;-0,991
0,24;-0,242;0,25;-0,971
0,24;-0,238;0,25;-0,945
0,24;-0,238;0,25;-0,980
0,24;-0,231;0,25;-0,968
0,24;-0,231;0,25;-0,962
0,24;-0,220;0,25;-0,950
0,24;-0,211;0,25;-0,950
0,24;-0,202;0,25;-0,932
0,24;-0,192;0,25;-0,916
0,24;-0,175;0,25;-0,877
0,24;-0,161;0,25;-0,830
0,24;-0,154;0,25;-0,807
0,24;-0,143;0,25;-0,818
0,24;-0,133;0,25;-0,832
0,24;-0,125;0,25;-0,846
0,24;-0,120;0,25;-0,850
0,24;-0,124;0,25;-0,846
0,24;-0,116;0,25;-0,821
0,24;-0,109;0,25;-0,807
0,24;-0,106;0,25;-0,782
0,24;-0,093;0,25;-0,764
0,24;-0,090;0,25;-0,742
0,24;-0,082;0,25;-0,710
0,24;-0,075;0,25;-0,707
0,24;-0,066;0,25;-0,714
0,24;-0,061;0,25;-0,725
0,24;-0,052;0,25;-0,725
0,24;-0,049;0,25;-0,708
0,24;-0,043;0,25;-0,682
0,24;-0,034;0,25;-0,666
0,24;-0,032;0,25;-0,653
0,24;-0,031;0,24;-0,644
0,24;-0,029;0,24;-0,612
0,24;-0,027;0,24;-0,603
0,24;-0,020;0,24;-0,594
0,24;-0,023;0,24;-0,589
0,24;-0,018;0,24;-0,574
0,24;-0,018;0,24;-0,571
0,24;-0,016;0,24;-0,560
0,24;-0,018;0,24;-0,556
0,24;-0,013;0,24;-0,549
0,24;-0,016;0,24;-0,535
0,24;-0,015;0,24;-0,519
0,24;-0,013;0,24;-0,496
0,24;-0,015;0,24;-0,465
0,24;-0,015;0,24;-0,449
0,24;-0,015;0,24;-0,438
0,24;-0,016;0,24;-0,435
0,24;-0,016;0,24;-0,421
0,24;-0,016;0,24;-0,412
0,24;-0,020;0,24;-0,412
0,24;-0,018;0,24;-0,390
0,24;-0,018;0,24;-0,388
0,24;-0,018;0,24;-0,370
0,24;-0,020;0,24;-0,351
0,24;-0,018;0,24;-0,347
0,24;-0,020;0,24;-0,335
0,24;-0,018;0,24;-0,333
0,24;-0,018;0,24;-0,319
0,24;-0,020;0,24;-0,308
0,24;-0,022;0,24;-0,297
;-0,018;0,24;-0,286
;-0,023;0,24;-0,279
;;0,24;-0,261
;;0,24;-0,256
;;0,24;-0,245
;;0,24;-0,238
;;0,24;-0,222
;;0,24;-0,208
;;0,24;-0,204
;;0,24;-0,195
;;0,24;-0,186
;;0,24;-0,175
;;0,24;-0,175
;;0,24;-0,165
;;0,24;-0,154
;;0,24;-0,142
;;0,24;-0,133
;;0,24;-0,129
;;0,24;-0,124
;;0,24;-0,116
;;0,24;-0,106
;;0,24;-0,097
;;0,24;-0,088
;;0,24;-0,081
;;0,24;-0,072
;;0,24;-0,065
;;0,24;-0,057
;;0,24;-0,054
;;0,24;-0,049
;;0,24;-0,038
;;0,24;-0,036
;;0,24;-0,029
;;0,24;-0,023
;;0,24;-0,022
;;0,24;-0,015
;;0,24;-0,013
;;0,24;-0,009
;;0,24;-0,007
;;0,24;-0,004
;;0,24;-2,236E-4
;;0,24;-2,236E-4
;;0,24;-0,004
;;0,24;-0,002
;;0,24;-0,002
;;0,24;0,002
;;0,24;0,003
;;0,24;0,003
;;0,24;0,003
;;0,24;0,003
;;0,24;0,002
;;0,24;0,003
;;0,24;0,003
;;0,24;0,007
;;0,24;0,007
;;0,24;0,003
;;0,24;0,007
;;0,24;0,002
;;0,24;0,002
;;0,24;0,002
;;0,24;0,002
;;0,24;0,005
;;0,24;0,005
;;0,24;0,005
;;0,24;0,007
;;0,24;0,009
;;0,24;0,009
;;0,24;0,005
;;0,24;0,011
;;0,24;0,003
;;0,24;0,003
;;0,24;0,007
;;0,24;0,003
;;0,24;0,009
;;0,24;0,011
;;0,24;0,012
;;0,24;0,009
;;0,24;0,007
;;0,24;0,005
;;0,24;0,002
;;0,24;0,005
;;0,24;0,009
;;0,24;0,003
;;0,24;0,002
;;0,24;0,005
;;0,24;0,003
;;0,24;-2,236E-4
;;0,24;0,007
;;0,24;0,002
;;0,24;0,003
;;0,24;0,002
;;0,24;0,003
;;0,24;0,002
;;0,24;-2,236E-4
;;0,24;0,003
;;0,24;0,005
;;0,24;0,003
;;0,24;0,009
;;0,24;0,007
;;0,24;0,007
;;0,24;0,005
;;0,24;0,005
;;0,24;0,005
;;0,24;0,005
;;0,24;0,003
;;0,24;-2,236E-4
;;0,24;0,005
;;0,24;0,009
;;0,24;0,002
