"Posición (m) Serie Nº 1";"Fuerza (N) Serie Nº 1"
0,32;-10,842
0,32;-10,847
0,32;-10,840
0,32;-10,849
0,32;-10,847
0,32;-10,840
0,32;-10,845
0,32;-10,842
0,32;-10,847
0,32;-10,843
0,32;-10,843
0,32;-10,849
0,32;-10,847
0,32;-10,849
0,32;-10,845
0,32;-10,845
0,32;-10,838
0,32;-10,845
0,32;-10,842
0,32;-10,849
0,32;-10,847
0,32;-10,842
0,32;-10,843
0,32;-10,843
0,32;-10,845
0,32;-10,845
0,32;-10,838
0,32;-10,840
0,32;-10,851
0,32;-10,838
0,32;-10,840
0,32;-10,847
0,32;-10,845
0,32;-10,840
0,32;-10,843
0,32;-10,842
0,32;-10,836
0,32;-10,843
0,32;-10,843
0,32;-10,833
0,32;-10,845
0,32;-10,849
0,32;-10,827
0,32;-10,845
0,32;-10,842
0,32;-10,845
0,32;-10,842
0,32;-10,836
0,32;-10,843
0,32;-10,849
0,32;-10,838
0,32;-10,842
0,32;-10,845
0,32;-10,833
0,32;-10,847
0,32;-10,842
0,32;-10,826
0,32;-10,856
0,32;-10,831
0,32;-10,838
0,32;-10,840
0,32;-10,842
0,32;-10,836
0,32;-10,845
0,32;-10,831
0,32;-10,838
0,32;-10,845
0,32;-10,836
0,32;-10,827
0,32;-10,860
0,32;-10,833
0,32;-10,831
0,32;-10,860
0,32;-10,826
0,32;-10,842
0,32;-10,856
0,32;-10,824
0,32;-10,847
0,32;-10,842
0,32;-10,827
0,32;-10,852
0,32;-10,835
0,32;-10,833
0,32;-10,847
0,32;-10,836
0,32;-10,835
0,32;-10,849
0,32;-10,829
0,32;-10,843
0,32;-10,838
0,32;-10,826
0,32;-10,852
0,32;-10,827
0,32;-10,835
0,32;-10,861
0,32;-10,817
0,32;-10,849
0,32;-10,847
0,32;-10,820
0,32;-10,860
0,32;-10,836
0,32;-10,826
0,32;-10,858
0,32;-10,831
0,32;-10,836
0,32;-10,845
0,32;-10,835
0,32;-10,836
0,32;-10,851
0,32;-10,831
0,32;-10,836
0,32;-10,845
0,32;-10,826
0,32;-10,851
0,32;-10,840
0,32;-10,827
0,32;-10,849
0,32;-10,842
0,32;-10,831
0,32;-10,845
0,32;-10,836
0,32;-10,836
0,32;-10,843
0,32;-10,831
0,32;-10,836
0,32;-10,835
0,32;-10,833
0,32;-10,833
0,32;-10,829
0,32;-10,836
0,32;-10,835
0,32;-10,835
0,32;-10,836
0,32;-10,838
0,32;-10,833
0,32;-10,833
0,32;-10,833
0,32;-10,840
0,32;-10,838
0,32;-10,833
0,32;-10,835
0,32;-10,835
0,32;-10,838
0,32;-10,835
0,32;-10,833
0,32;-10,831
0,32;-10,835
0,32;-10,835
0,32;-10,833
0,32;-10,831
0,32;-10,829
0,32;-10,827
0,32;-10,829
0,32;-10,831
0,32;-10,829
0,32;-10,833
0,32;-10,829
0,32;-10,829
0,32;-10,833
0,32;-10,833
0,32;-10,829
0,32;-10,833
0,32;-10,835
0,32;-10,831
0,32;-10,835
0,32;-10,829
0,32;-10,835
0,32;-10,829
0,32;-10,829
0,32;-10,831
0,32;-10,829
0,32;-10,835
0,32;-10,827
0,32;-10,827
0,32;-10,836
0,32;-10,827
0,32;-10,827
0,32;-10,829
0,32;-10,827
0,32;-10,827
0,32;-10,829
0,32;-10,827
0,32;-10,831
0,32;-10,831
0,32;-10,827
0,32;-10,827
0,32;-10,835
0,32;-10,826
0,32;-10,833
0,32;-10,833
0,32;-10,822
0,32;-10,833
0,32;-10,829
0,32;-10,822
0,32;-10,838
